DRAM_GB,capacity_embeddings,dataset,reuse,policy,hits,misses,hit_rate,energy_nJ_per_query,ttft_us_per_query,edp_pJ_ns
0.25,349525,nq,1.25,no_cache,0,1000000,0.000,203000201.3,20434.77,4.15e+18
0.25,349525,nq,1.25,lfu,141918,858082,0.142,203000119.4,20434.77,4.15e+18
0.25,349525,nq,1.25,opt,212939,787061,0.213,203000078.5,20434.77,4.15e+18
0.25,349525,hotpotqa,1.42,no_cache,0,1000000,0.000,203000201.3,20434.77,4.15e+18
0.25,349525,hotpotqa,1.42,lfu,232706,767294,0.233,203000067.1,20434.77,4.15e+18
0.25,349525,hotpotqa,1.42,opt,295586,704414,0.296,203000030.8,20434.77,4.15e+18
0.25,349525,scidocs,1.73,no_cache,0,1000000,0.000,203000201.3,20434.77,4.15e+18
0.25,349525,scidocs,1.73,lfu,390621,609379,0.391,202999976.0,20434.76,4.15e+18
0.25,349525,scidocs,1.73,opt,421815,578185,0.422,202999958.0,20434.76,4.15e+18
0.25,349525,quora,1.91,no_cache,0,1000000,0.000,203000201.3,20434.77,4.15e+18
0.25,349525,quora,1.91,lfu,456757,543243,0.457,202999937.8,20434.76,4.15e+18
0.25,349525,quora,1.91,opt,476042,523958,0.476,202999926.7,20434.76,4.15e+18
0.25,349525,fever,2.41,no_cache,0,1000000,0.000,203000201.3,20434.77,4.15e+18
0.25,349525,fever,2.41,lfu,580862,419138,0.581,202999866.2,20434.76,4.15e+18
0.25,349525,fever,2.41,opt,583822,416178,0.584,202999864.5,20434.76,4.15e+18
0.25,349525,fiqa,4.47,no_cache,0,1000000,0.000,203000201.3,20434.77,4.15e+18
0.25,349525,fiqa,4.47,lfu,768953,231047,0.769,202999757.7,20434.76,4.15e+18
0.25,349525,fiqa,4.47,opt,768953,231047,0.769,202999757.7,20434.76,4.15e+18
0.5,699050,nq,1.25,no_cache,0,1000000,0.000,203000201.3,20434.77,4.15e+18
0.5,699050,nq,1.25,lfu,209836,790164,0.210,203000080.3,20434.77,4.15e+18
0.5,699050,nq,1.25,opt,212939,787061,0.213,203000078.5,20434.77,4.15e+18
0.5,699050,hotpotqa,1.42,no_cache,0,1000000,0.000,203000201.3,20434.77,4.15e+18
0.5,699050,hotpotqa,1.42,lfu,295562,704438,0.296,203000030.8,20434.77,4.15e+18
0.5,699050,hotpotqa,1.42,opt,295586,704414,0.296,203000030.8,20434.77,4.15e+18
0.5,699050,scidocs,1.73,no_cache,0,1000000,0.000,203000201.3,20434.77,4.15e+18
0.5,699050,scidocs,1.73,lfu,421815,578185,0.422,202999958.0,20434.76,4.15e+18
0.5,699050,scidocs,1.73,opt,421815,578185,0.422,202999958.0,20434.76,4.15e+18
0.5,699050,quora,1.91,no_cache,0,1000000,0.000,203000201.3,20434.77,4.15e+18
0.5,699050,quora,1.91,lfu,476042,523958,0.476,202999926.7,20434.76,4.15e+18
0.5,699050,quora,1.91,opt,476042,523958,0.476,202999926.7,20434.76,4.15e+18
0.5,699050,fever,2.41,no_cache,0,1000000,0.000,203000201.3,20434.77,4.15e+18
0.5,699050,fever,2.41,lfu,583822,416178,0.584,202999864.5,20434.76,4.15e+18
0.5,699050,fever,2.41,opt,583822,416178,0.584,202999864.5,20434.76,4.15e+18
0.5,699050,fiqa,4.47,no_cache,0,1000000,0.000,203000201.3,20434.77,4.15e+18
0.5,699050,fiqa,4.47,lfu,768953,231047,0.769,202999757.7,20434.76,4.15e+18
0.5,699050,fiqa,4.47,opt,768953,231047,0.769,202999757.7,20434.76,4.15e+18
