MAIN_MEMORY_GB,GLOBAL_BUFFER_MB,capacity_embeddings,dataset,reuse,policy,h2,h_dram,h_disk,hits_total,misses,hit_rate,energy_nJ_per_query,ttft_us_per_query,edp_pJ_ns
1,128,1398101,nq,1.25,no_cache,0,0,1000000,0,1000000,0.000,203000156.3,21434.76,4.35e+18
1,128,1398101,nq,1.25,lfu,0,212939,787061,212939,787061,0.213,203000135.0,21221.82,4.31e+18
1,128,1398101,nq,1.25,opt,0,212939,787061,212939,787061,0.213,203000135.0,21221.82,4.31e+18
1,128,1398101,hotpotqa,1.42,no_cache,0,0,1000000,0,1000000,0.000,203000156.3,21434.76,4.35e+18
1,128,1398101,hotpotqa,1.42,lfu,0,295586,704414,295586,704414,0.296,203000126.8,21139.18,4.29e+18
1,128,1398101,hotpotqa,1.42,opt,0,295586,704414,295586,704414,0.296,203000126.8,21139.18,4.29e+18
1,128,1398101,scidocs,1.73,no_cache,0,0,1000000,0,1000000,0.000,203000156.3,21434.76,4.35e+18
1,128,1398101,scidocs,1.73,lfu,0,421815,578185,421815,578185,0.422,203000114.1,21012.95,4.27e+18
1,128,1398101,scidocs,1.73,opt,0,421815,578185,421815,578185,0.422,203000114.1,21012.95,4.27e+18
1,128,1398101,quora,1.91,no_cache,0,0,1000000,0,1000000,0.000,203000156.3,21434.76,4.35e+18
1,128,1398101,quora,1.91,lfu,0,476042,523958,476042,523958,0.476,203000108.7,20958.72,4.25e+18
1,128,1398101,quora,1.91,opt,0,476042,523958,476042,523958,0.476,203000108.7,20958.72,4.25e+18
1,128,1398101,fever,2.41,no_cache,0,0,1000000,0,1000000,0.000,203000156.3,21434.76,4.35e+18
1,128,1398101,fever,2.41,lfu,0,583822,416178,583822,416178,0.584,203000097.9,20850.94,4.23e+18
1,128,1398101,fever,2.41,opt,0,583822,416178,583822,416178,0.584,203000097.9,20850.94,4.23e+18
1,128,1398101,fiqa,4.47,no_cache,0,0,1000000,0,1000000,0.000,203000156.3,21434.76,4.35e+18
1,128,1398101,fiqa,4.47,lfu,0,768953,231047,768953,231047,0.769,203000079.4,20665.81,4.20e+18
1,128,1398101,fiqa,4.47,opt,0,768953,231047,768953,231047,0.769,203000079.4,20665.81,4.20e+18
2,128,2000000,nq,1.25,no_cache,0,0,1000000,0,1000000,0.000,203000156.3,21434.76,4.35e+18
2,128,2000000,nq,1.25,lfu,0,212939,787061,212939,787061,0.213,203000135.0,21221.82,4.31e+18
2,128,2000000,nq,1.25,opt,0,212939,787061,212939,787061,0.213,203000135.0,21221.82,4.31e+18
2,128,2000000,hotpotqa,1.42,no_cache,0,0,1000000,0,1000000,0.000,203000156.3,21434.76,4.35e+18
2,128,2000000,hotpotqa,1.42,lfu,0,295586,704414,295586,704414,0.296,203000126.8,21139.18,4.29e+18
2,128,2000000,hotpotqa,1.42,opt,0,295586,704414,295586,704414,0.296,203000126.8,21139.18,4.29e+18
2,128,2000000,scidocs,1.73,no_cache,0,0,1000000,0,1000000,0.000,203000156.3,21434.76,4.35e+18
2,128,2000000,scidocs,1.73,lfu,0,421815,578185,421815,578185,0.422,203000114.1,21012.95,4.27e+18
2,128,2000000,scidocs,1.73,opt,0,421815,578185,421815,578185,0.422,203000114.1,21012.95,4.27e+18
2,128,2000000,quora,1.91,no_cache,0,0,1000000,0,1000000,0.000,203000156.3,21434.76,4.35e+18
2,128,2000000,quora,1.91,lfu,0,476042,523958,476042,523958,0.476,203000108.7,20958.72,4.25e+18
2,128,2000000,quora,1.91,opt,0,476042,523958,476042,523958,0.476,203000108.7,20958.72,4.25e+18
2,128,2000000,fever,2.41,no_cache,0,0,1000000,0,1000000,0.000,203000156.3,21434.76,4.35e+18
2,128,2000000,fever,2.41,lfu,0,583822,416178,583822,416178,0.584,203000097.9,20850.94,4.23e+18
2,128,2000000,fever,2.41,opt,0,583822,416178,583822,416178,0.584,203000097.9,20850.94,4.23e+18
2,128,2000000,fiqa,4.47,no_cache,0,0,1000000,0,1000000,0.000,203000156.3,21434.76,4.35e+18
2,128,2000000,fiqa,4.47,lfu,0,768953,231047,768953,231047,0.769,203000079.4,20665.81,4.20e+18
2,128,2000000,fiqa,4.47,opt,0,768953,231047,768953,231047,0.769,203000079.4,20665.81,4.20e+18
4,128,2000000,nq,1.25,no_cache,0,0,1000000,0,1000000,0.000,203000156.3,21434.76,4.35e+18
4,128,2000000,nq,1.25,lfu,0,212939,787061,212939,787061,0.213,203000135.0,21221.82,4.31e+18
4,128,2000000,nq,1.25,opt,0,212939,787061,212939,787061,0.213,203000135.0,21221.82,4.31e+18
4,128,2000000,hotpotqa,1.42,no_cache,0,0,1000000,0,1000000,0.000,203000156.3,21434.76,4.35e+18
4,128,2000000,hotpotqa,1.42,lfu,0,295586,704414,295586,704414,0.296,203000126.8,21139.18,4.29e+18
4,128,2000000,hotpotqa,1.42,opt,0,295586,704414,295586,704414,0.296,203000126.8,21139.18,4.29e+18
4,128,2000000,scidocs,1.73,no_cache,0,0,1000000,0,1000000,0.000,203000156.3,21434.76,4.35e+18
