dataset,reuse_target,actual_reuse,main_memory_gb,global_buffer_mb,policy,policy_label,h2,h_dram,h_disk,hit_rate,h2_rate,h_dram_rate,h_disk_rate,total_energy_mJ,total_latency_ms,energy_nJ_per_query,latency_us_per_query
nq,1.25,1.2705495507972062,1,128,no_cache,No Cache,0,0,1000000,0.0,0.0,0.0,1.0,64.74304000000001,100001.62581433223,647.4304000000001,1000.0162581433224
nq,1.25,1.2705495507972062,1,128,lfu_l1,LFU L1 (SRAM),79319,0,920681,0.079319,0.079319,0.0,0.920681,60.52387836992,92069.62660099023,605.2387836992,920.6962660099024
nq,1.25,1.2705495507972062,1,128,lfu_l2,LFU L2 (DRAM),0,212939,787061,0.212939,0.0,0.212939,0.787061,62.61365000000001,78707.72581433224,626.1365,787.0772581433224
nq,1.25,1.2705495507972062,1,128,lfu_l1_l2,LFU L1/L2,79319,133620,787061,0.212939,0.079319,0.13362,0.787061,59.18767836992001,78707.62660099023,591.8767836992,787.0762660099024
nq,1.25,1.2705495507972062,1,128,opt_two_tier,OPT L1/L2,94912,118027,787061,0.212939,0.094912,0.118027,0.787061,58.514180524160004,78707.60709704235,585.1418052416001,787.0760709704234
nq,1.25,1.2705495507972062,2,128,no_cache,No Cache,0,0,1000000,0.0,0.0,0.0,1.0,64.74304000000001,100001.62581433223,647.4304000000001,1000.0162581433224
nq,1.25,1.2705495507972062,2,128,lfu_l1,LFU L1 (SRAM),79319,0,920681,0.079319,0.079319,0.0,0.920681,60.52387836992,92069.62660099023,605.2387836992,920.6962660099024
nq,1.25,1.2705495507972062,2,128,lfu_l2,LFU L2 (DRAM),0,212939,787061,0.212939,0.0,0.212939,0.787061,62.61365000000001,78707.72581433224,626.1365,787.0772581433224
nq,1.25,1.2705495507972062,2,128,lfu_l1_l2,LFU L1/L2,79319,133620,787061,0.212939,0.079319,0.13362,0.787061,59.18767836992001,78707.62660099023,591.8767836992,787.0762660099024
nq,1.25,1.2705495507972062,2,128,opt_two_tier,OPT L1/L2,94912,118027,787061,0.212939,0.094912,0.118027,0.787061,58.514180524160004,78707.60709704235,585.1418052416001,787.0760709704234
nq,1.25,1.2705495507972062,4,128,no_cache,No Cache,0,0,1000000,0.0,0.0,0.0,1.0,64.74304000000001,100001.62581433223,647.4304000000001,1000.0162581433224
nq,1.25,1.2705495507972062,4,128,lfu_l1,LFU L1 (SRAM),79319,0,920681,0.079319,0.079319,0.0,0.920681,60.52387836992,92069.62660099023,605.2387836992,920.6962660099024
nq,1.25,1.2705495507972062,4,128,lfu_l2,LFU L2 (DRAM),0,212939,787061,0.212939,0.0,0.212939,0.787061,62.61365000000001,78707.72581433224,626.1365,787.0772581433224
nq,1.25,1.2705495507972062,4,128,lfu_l1_l2,LFU L1/L2,79319,133620,787061,0.212939,0.079319,0.13362,0.787061,59.18767836992001,78707.62660099023,591.8767836992,787.0762660099024
nq,1.25,1.2705495507972062,4,128,opt_two_tier,OPT L1/L2,94912,118027,787061,0.212939,0.094912,0.118027,0.787061,58.514180524160004,78707.60709704235,585.1418052416001,787.0760709704234
nq,1.25,1.2705495507972062,8,128,no_cache,No Cache,0,0,1000000,0.0,0.0,0.0,1.0,64.74304000000001,100001.62581433223,647.4304000000001,1000.0162581433224
nq,1.25,1.2705495507972062,8,128,lfu_l1,LFU L1 (SRAM),79319,0,920681,0.079319,0.079319,0.0,0.920681,60.52387836992,92069.62660099023,605.2387836992,920.6962660099024
nq,1.25,1.2705495507972062,8,128,lfu_l2,LFU L2 (DRAM),0,212939,787061,0.212939,0.0,0.212939,0.787061,62.61365000000001,78707.72581433224,626.1365,787.0772581433224
