dataset,reuse_target,actual_reuse,unique_docs,policy,policy_label,hits,misses,hit_rate,total_energy_mJ,total_latency_ms,energy_nJ_per_query,latency_us_per_query
nq,1.25,1.2705495507972062,787061,no_cache,No Cache,0,1000000,0.0,69.24288,2.375814332247557,692.4288,0.023758143322475573
nq,1.25,1.2705495507972062,787061,lfu,LFU (EdgeRAG),81049,918951,0.081049,64.56698812416,2.2136503314332248,645.6698812416,0.02213650331433225
nq,1.25,1.2705495507972062,787061,opt,Belady OPT,212939,787061,0.212939,56.95796914176,1.9497629291530945,569.5796914176,0.019497629291530944
hotpotqa,1.42,1.4196197122714767,704414,no_cache,No Cache,0,1000000,0.0,69.24288,2.375814332247557,692.4288,0.023758143322475573
hotpotqa,1.42,1.4196197122714767,704414,lfu,LFU (EdgeRAG),152840,847160,0.15284,60.42521026560001,2.0700098697068405,604.252102656,0.020700098697068407
hotpotqa,1.42,1.4196197122714767,704414,opt,Belady OPT,295586,704414,0.295586,52.18988519424,1.7844016270358305,521.8988519424,0.017844016270358306
scidocs,1.73,1.7295502304625683,578185,no_cache,No Cache,0,1000000,0.0,69.24288,2.375814332247557,692.4288,0.023758143322475573
scidocs,1.73,1.7295502304625683,578185,lfu,LFU (EdgeRAG),313501,686499,0.313501,51.15633014784001,1.7485570382736157,511.56330147840004,0.017485570382736158
scidocs,1.73,1.7295502304625683,578185,opt,Belady OPT,421815,578185,0.421815,44.907461529600006,1.5318408346905537,449.07461529600005,0.01531840834690554
quora,1.91,1.9085499219403081,523958,no_cache,No Cache,0,1000000,0.0,69.24288,2.375814332247557,692.4288,0.023758143322475573
quora,1.91,1.9085499219403081,523958,lfu,LFU (EdgeRAG),388171,611829,0.388171,46.84845656064001,1.5991562320846906,468.48456560640005,0.015991562320846905
quora,1.91,1.9085499219403081,523958,opt,Belady OPT,476042,523958,0.476042,41.77898876928,1.4233426758957655,417.7898876928,0.014233426758957654
fever,2.41,2.402818024979696,416178,no_cache,No Cache,0,1000000,0.0,69.24288,2.375814332247557,692.4288,0.023758143322475573
fever,2.41,2.402818024979696,416178,lfu,LFU (EdgeRAG),535771,464229,0.535771,38.33309374464,1.303836036644951,383.3309374464,0.013038360366449512
fever,2.41,2.402818024979696,416178,opt,Belady OPT,583822,416178,0.583822,35.560927764480006,1.2076949071661238,355.60927764480004,0.012076949071661238
fiqa,4.47,4.328123715088272,231047,no_cache,No Cache,0,1000000,0.0,69.24288,2.375814332247557,692.4288,0.023758143322475573
fiqa,4.47,4.328123715088272,231047,lfu,LFU (EdgeRAG),765963,234037,0.765963,25.05282004992,0.8432645838762215,250.52820049919998,0.008432645838762217
fiqa,4.47,4.328123715088272,231047,opt,Belady OPT,768953,231047,0.768953,24.880320491520003,0.8372821490228013,248.8032049152,0.008372821490228013
