dataset,reuse_target,actual_reuse,unique_docs,policy,policy_label,l1_hits,l2_hits,misses,hit_rate,l1_hit_rate,l2_hit_rate,overall_hit_rate,total_energy_mJ,total_latency_ms,energy_nJ_per_query,latency_us_per_query
nq,1.25,1.2705495507972062,787061,no_cache,"No Cache
(all miss)",0,0,1000000,0.0,0.0,0.0,0.0,72.572928,2.375814332247557,725.72928,0.023758143322475573
nq,1.25,1.2705495507972062,787061,l2_lfu,"L2 LFU
(GlobalBuffer)",0,79319,920681,0.079319,0.0,0.079319,0.079319,67.99684356096,2.217111740228013,679.9684356096001,0.02217111740228013
nq,1.25,1.2705495507972062,787061,two_tier_lfu,"Two-tier LFU
(Local+Global)",2715,76604,920681,0.079319,0.002715,0.076604,0.079319,67.96059583488001,2.216093615228013,679.6059583488001,0.022160936152280132
hotpotqa,1.42,1.4196197122714767,704414,no_cache,"No Cache
(all miss)",0,0,1000000,0.0,0.0,0.0,0.0,72.572928,2.375814332247557,725.72928,0.023758143322475573
hotpotqa,1.42,1.4196197122714767,704414,l2_lfu,"L2 LFU
(GlobalBuffer)",0,150319,849681,0.150319,0.0,0.150319,0.150319,63.90070020096,2.0750539226384364,639.0070020095999,0.020750539226384365
hotpotqa,1.42,1.4196197122714767,704414,two_tier_lfu,"Two-tier LFU
(Local+Global)",10426,139893,849681,0.150319,0.010426,0.139893,0.150319,63.76150359244801,2.0711441726384363,637.61503592448,0.020711441726384366
scidocs,1.73,1.7295502304625683,578185,no_cache,"No Cache
(all miss)",0,0,1000000,0.0,0.0,0.0,0.0,72.572928,2.375814332247557,725.72928,0.023758143322475573
scidocs,1.73,1.7295502304625683,578185,l2_lfu,"L2 LFU
(GlobalBuffer)",0,310628,689372,0.310628,0.0,0.310628,0.310628,54.65212772352001,1.754305377850163,546.5212772352,0.01754305377850163
scidocs,1.73,1.7295502304625683,578185,two_tier_lfu,"Two-tier LFU
(Local+Global)",72685,237943,689372,0.310628,0.072685,0.237943,0.310628,53.68171668480001,1.727048502850163,536.817166848,0.017270485028501634
quora,1.91,1.9085499219403081,523958,no_cache,"No Cache
(all miss)",0,0,1000000,0.0,0.0,0.0,0.0,72.572928,2.375814332247557,725.72928,0.023758143322475573
quora,1.91,1.9085499219403081,523958,l2_lfu,"L2 LFU
(GlobalBuffer)",0,385507,614493,0.385507,0.0,0.385507,0.385507,50.33219647488,1.604486401465798,503.3219647488,0.016044864014657982
quora,1.91,1.9085499219403081,523958,two_tier_lfu,"Two-tier LFU
(Local+Global)",121305,264202,614493,0.385507,0.121305,0.264202,0.385507,48.712664094720004,1.558997026465798,487.12664094720003,0.01558997026465798
fever,2.41,2.402818024979696,416178,no_cache,"No Cache
(all miss)",0,0,1000000,0.0,0.0,0.0,0.0,72.572928,2.375814332247557,725.72928,0.023758143322475573
fever,2.41,2.402818024979696,416178,l2_lfu,"L2 LFU
(GlobalBuffer)",0,533652,466348,0.533652,0.0,0.533652,0.533652,41.785391431680004,1.3080757622149837,417.8539143168,0.013080757622149837
fever,2.41,2.402818024979696,416178,two_tier_lfu,"Two-tier LFU
(Local+Global)",252534,281118,466348,0.533652,0.252534,0.281118,0.533652,38.413832220672,1.2133755122149839,384.13832220672,0.012133755122149838
fiqa,4.47,4.328123715088272,231047,no_cache,"No Cache
(all miss)",0,0,1000000,0.0,0.0,0.0,0.0,72.572928,2.375814332247557,725.72928,0.023758143322475573
fiqa,4.47,4.328123715088272,231047,l2_lfu,"L2 LFU
(GlobalBuffer)",0,765456,234544,0.765456,0.0,0.765456,0.765456,28.41211797504,0.8442789967426709,284.1211797504,0.00844278996742671
fiqa,4.47,4.328123715088272,231047,two_tier_lfu,"Two-tier LFU
(Local+Global)",554771,210685,234544,0.765456,0.554771,0.210685,0.765456,21.005419173888,0.6362398717426709,210.05419173888,0.00636239871742671
